# Arlo U. Landolt
# UBVRI PHOTOMETRIC STANDARD STARS AROUND THE CELESTIAL EQUATOR: UPDATES AND ADDITIONS
# Astron.J.137:4186,2009
# https://arxiv.org/abs/0904.0638
#
# STAR       Star
# RA_2000    alpha (J2000.0)
# DEC_2000   delta (J2000.0)
# MAG_V      V
# MAG_BV     B-V
# MAG_UB     U-B
# MAG_VR     V-R
# MAG_RI     R-I
# MAG_VI     V-I
# NOB        number of observation
# NNI        number of nights
# ERR_V      mean error of V
# ERR_BV     mean error of B-V
# ERR_UB     mean error of U-B
# ERR_VR     mean error of V-R
# ERR_RI     mean error of R-I
# ERR_VI     mean error of V-I
FIELD_NAME      STAR	       RA_2000          DEC_2000        MAG_V    MAG_BV   MAG_UB   MAG_VR   MAG_RI   MAG_VI   NOB   NNI    ERR_V     ERR_BV    ERR_UB    ERR_VR	   ERR_RI    ERR_VI
SA95            95_102         03:53:07.588     +00:01:10.73    15.622   +1.001   +0.162   +0.448   +0.618   +1.065     3     1    0.0335    0.0803    0.0612    0.0115    0.0508    0.0618    
SA95            95_252         03:53:10.636     +00:27:22.74    15.394   +1.452   +1.178   +0.816   +0.747   +1.566     6     3    0.0065    0.0257    0.0433    0.0090    0.0086    0.0131    
SA95            95_190         03:53:13.251     +00:16:22.62    12.627   +0.287   +0.236   +0.195   +0.220   +0.415    44    22    0.0020    0.0017    0.0039    0.0017    0.0015    0.0021    
SA95            95_193         03:53:20.593     +00:16:34.57    14.338   +1.211   +1.239   +0.748   +0.616   +1.366    20    10    0.0049    0.0063    0.0255    0.0042    0.0034    0.0058    
SA95            95_105         03:53:21.329     -00:00:18.64    13.574   +0.976   +0.627   +0.550   +0.536   +1.088     1     1    -         -         -         -         -         -         
SA95            95_106         03:53:25.190     +00:01:22.64    15.137   +1.251   +0.369   +0.394   +0.508   +0.903     2     1    0.0064    0.0615    0.0240    0.1520    0.0127    0.1407    
SA95            95_107         03:53:25.66      +00:02:20.5     16.275   +1.324   +1.115   +0.947   +0.962   +1.907     2     1    0.0035    0.1068    0.1732    0.0438    0.0226    0.0212    
SA95            95_112         03:53:40.114     -00:01:11.42    15.502   +0.662   +0.077   +0.605   +0.620   +1.227     1     1    -         -         -         -         -         -         
SA95            95_41          03:53:41.201     -00:02:32.41    14.060   +0.903   +0.297   +0.589   +0.585   +1.176     1     1    -         -         -         -         -         -         
SA95            95_42          03:53:43.68      -00:04:33.9     15.606   -0.215   -1.111   -0.119   -0.180   -0.300    41    18    0.0058    0.0073    0.0064    0.0075    0.0269    0.0276    
SA95            95_317         03:53:44.183     +00:29:50.02    13.449   +1.320   +1.120   +0.768   +0.708   +1.476    24    11    0.0035    0.0067    0.0131    0.0033    0.0012    0.0035    
SA95            95_263         03:53:47.002     +00:26:40.82    12.679   +1.500   +1.559   +0.801   +0.711   +1.513    19    10    0.0030    0.0034    0.0094    0.0023    0.0011    0.0028    
SA95            95_115         03:53:47.821     -00:00:47.39    14.680   +0.836   +0.096   +0.577   +0.579   +1.157     1     1    -         -         -         -         -         -         
SA95            95_43          03:53:48.609     -00:03:01.74    10.803   +0.510   -0.016   +0.308   +0.316   +0.624    16    10    0.0022    0.0020    0.0027    0.0027    0.0018    0.0035    
SA95            95_271         03:54:16.298     +00:18:52.20    13.669   +1.287   +0.916   +0.734   +0.717   +1.453    15     7    0.0057    0.0080    0.0127    0.0023    0.0023    0.0036    
SA95            95_328         03:54:19.470     +00:36:31.79    13.525   +1.532   +1.298   +0.908   +0.868   +1.776    23    11    0.0029    0.0054    0.0186    0.0027    0.0015    0.0031    
SA95            95_329         03:54:23.90      +00:37:07.1     14.617   +1.184   +1.093   +0.766   +0.642   +1.410    13     6    0.0047    0.0103    0.0311    0.0044    0.0094    0.0089    
SA95            95_330         03:54:30.757     +00:29:05.34    12.174   +1.999   +2.233   +1.166   +1.100   +2.268    47    23    0.0025    0.0026    0.0137    0.0020    0.0016    0.0028    
SA95            95_275         03:54:44.246     +00:27:20.28    13.479   +1.763   +1.740   +1.011   +0.931   +1.944    40    20    0.0028    0.0054    0.0201    0.0022    0.0016    0.0025    
SA95            95_276         03:54:45.878     +00:25:54.10    14.118   +1.225   +1.218   +0.748   +0.646   +1.395    14     7    0.0061    0.0102    0.0216    0.0040    0.0032    0.0051    
SA95            95_60          03:54:49.54      -00:07:04.1     13.429   +0.776   +0.197   +0.464   +0.449   +0.914    20    10    0.0031    0.0031    0.0060    0.0029    0.0025    0.0034    
SA95            95_218         03:54:49.948     +00:10:08.39    12.095   +0.708   +0.208   +0.397   +0.370   +0.767    20    14    0.0034    0.0022    0.0034    0.0020    0.0020    0.0027    
SA95            95_132         03:54:51.685     +00:05:21.42    12.067   +0.445   +0.311   +0.263   +0.287   +0.546    41    35    0.0012    0.0013    0.0020    0.0010    0.0013    0.0020    
SA95            95_62          03:55:00.406     -00:02:54.09    13.538   +1.355   +1.181   +0.742   +0.685   +1.428    22    11    0.0030    0.0053    0.0136    0.0019    0.0019    0.0028    
SA95            95_137         03:55:03.73      +00:03:26.7     14.440   +1.457   +1.136   +0.893   +0.845   +1.737     1     1    -         -         -         -         -         -         
SA95            95_139         03:55:04.67      +00:03:07.9     12.196   +0.923   +0.677   +0.562   +0.476   +1.039     3     2    0.0017    0.0046    0.0191    0.0023    0.0017    0.0035    
SA95            95_66          03:55:06.519     -00:09:31.90    12.892   +0.715   +0.167   +0.426   +0.438   +0.864     2     1    0.0021    0.0071    0.0035    0.0007    0.0057    0.0049    
SA95            95_227         03:55:08.76      +00:14:34.5     15.779   +0.771   +0.034   +0.515   +0.552   +1.067    14     7    0.0118    0.0289    0.0417    0.0115    0.0107    0.0150    
SA95            95_142         03:55:09.394     +00:01:20.57    12.927   +0.588   +0.097   +0.371   +0.375   +0.745    22    11    0.0030    0.0030    0.0036    0.0019    0.0017    0.0028    
